ai_infor_users_id,ai_infor_accounting_entity_id,ai_infor_users_accounting_entity_mapping_id,is_active,lid,ae_app_type,ai_infor_maps_id
1987,109,11435,t,lid://infor.ln.ln_sd1,,17486
1987,109,11440,t,lid://infor.ln.ln_sd1,,17321
1987,109,11441,t,lid://infor.ln.ln_sd1,,17358
1987,109,11442,t,lid://infor.ln.ln_sd1,,17366
1987,109,11443,t,lid://infor.ln.ln_sd1,,17422
1987,109,11444,t,lid://infor.ln.ln_sd1,,17504
31882,57,9181,f,lid://infor.ln.ln_ba,,4441
31882,32,9182,f,lid://infor.ln.ln_ba,,2309
31882,35,9183,f,lid://infor.ln.ln_ba,,2309
31882,36,9184,f,lid://infor.ln.ln_ba,,2309
31882,37,9185,f,lid://infor.ln.ln_ba,,2309
31882,38,9186,f,lid://infor.ln.ln_ba,,2309
31882,39,9187,f,lid://infor.ln.ln_ba,,2309
31882,40,9188,f,lid://infor.ln.ln_ba,,2309
31882,41,9189,f,lid://infor.ln.ln_ba,,2309
31882,42,9190,f,lid://infor.ln.ln_ba,,2309
31882,43,9191,f,lid://infor.ln.ln_ba,,2309
31882,44,9192,f,lid://infor.ln.ln_ba,,2309
31882,45,9193,f,lid://infor.ln.ln_ba,,2309
31882,46,9194,f,lid://infor.ln.ln_ba,,2309
31882,47,9195,f,lid://infor.ln.ln_ba,,2309
31882,48,9196,f,lid://infor.ln.ln_ba,,2309
31882,49,9197,f,lid://infor.ln.ln_ba,,2309
31882,50,9198,f,lid://infor.ln.ln_ba,,2309
31882,51,9199,f,lid://infor.ln.ln_ba,,2309
31882,52,9200,f,lid://infor.ln.ln_ba,,2309
31882,53,9201,f,lid://infor.ln.ln_ba,,2309
31882,54,9202,f,lid://infor.ln.ln_ba,,2309
31882,55,9203,f,lid://infor.ln.ln_ba,,2309
31882,56,9204,f,lid://infor.ln.ln_ba,,2309
31882,57,9205,f,lid://infor.ln.ln_ba,,2309
31882,13,9206,f,lid://infor.ln.ln_ba,,6193
31882,13,9207,f,lid://infor.ln.ln_ba,,7137
31886,109,11474,f,lid://infor.ln.ln_sd1,,37947
31886,110,11475,f,lid://infor.ln.ln_sd1,,37947
